0
"id: 69, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 111, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 153, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 195, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 237, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 279, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 321, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 363, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 405, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 447, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 489, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 531, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 573, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 615, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 657, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 699, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 741, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 783, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 825, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 867, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 909, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 951, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 993, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 1035, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 1077, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 1119, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 1161, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 1203, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 1245, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
"id: 1287, target: Objectives: [0.282], Fitness: 0.28200000000000003, solution: [0.09976925 0.88742668 0.09833949 ... 0.97924867 0.12247395 0.12422167]"
